Rank;Previous Rank;Diff;Rider;Rider link;Team;Points
135;134;▼1;BERTHET Clément;https://www.procyclingstats.com/rider/clement-berthet;Decathlon AG2R La Mondiale Team;474
136;136;-;VANSEVENANT Mauri;https://www.procyclingstats.com/rider/mauri-vansevenant;Soudal Quick-Step;472
137;159;▲22;TEUNISSEN Mike;https://www.procyclingstats.com/rider/mike-teunissen;XDS Astana Team;467
138;212;▲74;LAMPERTI Luke;https://www.procyclingstats.com/rider/luke-lamperti;Soudal Quick-Step;464
139;142;▲3;THOMAS Geraint;https://www.procyclingstats.com/rider/geraint-thomas;INEOS Grenadiers;459
140;140;-;IZAGIRRE Ion;https://www.procyclingstats.com/rider/ion-izagirre;Cofidis;458
141;138;▼3;CHRISTEN Fabio;https://www.procyclingstats.com/rider/fabio-christen;Q36.5 Pro Cycling Team;455
142;141;▼1;LAURANCE Axel;https://www.procyclingstats.com/rider/axel-laurance;INEOS Grenadiers;452
143;146;▲3;DELETTRE Alexandre;https://www.procyclingstats.com/rider/alexandre-delettre;Team TotalEnergies;448
144;147;▲3;TEUNS Dylan;https://www.procyclingstats.com/rider/dylan-teuns;Cofidis;445
145;164;▲19;KANTER Max;https://www.procyclingstats.com/rider/max-kanter;XDS Astana Team;444
146;150;▲4;VAN DEN BROEK Frank;https://www.procyclingstats.com/rider/frank-van-den-broek;Team Picnic PostNL;443
147;198;▲51;KUBIŠ Lukáš;https://www.procyclingstats.com/rider/lukas-kubis;Unibet Tietema Rockets;440
148;153;▲5;VENTURINI Clément;https://www.procyclingstats.com/rider/clement-venturini;Arkéa - B&B Hotels;439
149;151;▲2;PELLIZZARI Giulio;https://www.procyclingstats.com/rider/giulio-pellizzari;Red Bull - BORA - hansgrohe;437
150;156;▲6;HERMANS Quinten;https://www.procyclingstats.com/rider/quinten-hermans;Alpecin - Deceuninck;436
151;154;▲3;SILVA Guillermo Thomas;https://www.procyclingstats.com/rider/guillermo-thomas-silva-coussan;Caja Rural - Seguros RGA;434
152;148;▼4;ALEOTTI Giovanni;https://www.procyclingstats.com/rider/giovanni-aleotti;Red Bull - BORA - hansgrohe;433
153;120;▼33;THIJSSEN Gerben;https://www.procyclingstats.com/rider/gerben-thijssen;Intermarché - Wanty;432
154;110;▼44;BLACKMORE Joseph;https://www.procyclingstats.com/rider/joseph-blackmore;Israel - Premier Tech;431
155;122;▼33;POELS Wout;https://www.procyclingstats.com/rider/wout-poels;XDS Astana Team;430
156;128;▼28;ACKERMANN Pascal;https://www.procyclingstats.com/rider/pascal-ackermann;Israel - Premier Tech;428
157;214;▲57;MIHKELS Madis;https://www.procyclingstats.com/rider/madis-mihkels;EF Education - EasyPost;425
158;160;▲2;HOELGAARD Markus;https://www.procyclingstats.com/rider/markus-hoelgaard;Uno-X Mobility;420
159;181;▲22;PLUIMERS Rick;https://www.procyclingstats.com/rider/rick-pluimers;Tudor Pro Cycling Team;418
160;137;▼23;STUYVEN Jasper;https://www.procyclingstats.com/rider/jasper-stuyven;Lidl - Trek;415
161;162;▲1;BIERMANS Jenthe;https://www.procyclingstats.com/rider/jenthe-biermans;Arkéa - B&B Hotels;415
162;116;▼46;VAN POPPEL Danny;https://www.procyclingstats.com/rider/danny-van-poppel;Red Bull - BORA - hansgrohe;413
163;165;▲2;FOLDAGER Anders;https://www.procyclingstats.com/rider/anders-foldager;Team Jayco AlUla;413
164;157;▼7;BITTNER Pavel;https://www.procyclingstats.com/rider/pavel-bittner;Team Picnic PostNL;412
165;125;▼40;DE KLEIJN Arvid;https://www.procyclingstats.com/rider/arvid-de-kleijn;Tudor Pro Cycling Team;411
166;166;-;FAGÚNDEZ Eric Antonio;https://www.procyclingstats.com/rider/eric-antonio-fagundez;Burgos Burpellet BH;411
167;173;▲6;HAGENES Per Strand;https://www.procyclingstats.com/rider/per-strand-hagenes;Team Visma | Lease a Bike;408
168;158;▼10;HOFSTETTER Hugo;https://www.procyclingstats.com/rider/hugo-hofstetter;Israel - Premier Tech;407
169;129;▼40;PITHIE Laurence;https://www.procyclingstats.com/rider/laurence-pithie;Red Bull - BORA - hansgrohe;405
170;163;▼7;COQUARD Bryan;https://www.procyclingstats.com/rider/bryan-coquard;Cofidis;403
171;175;▲4;WATSON Samuel;https://www.procyclingstats.com/rider/samuel-watson;INEOS Grenadiers;400
172;172;-;VALTER Attila;https://www.procyclingstats.com/rider/attila-valter;Team Visma | Lease a Bike;393
173;168;▼5;BURGAUDEAU Mathieu;https://www.procyclingstats.com/rider/mathieu-burgaudeau;Team TotalEnergies;386
174;167;▼7;BRENNER Marco;https://www.procyclingstats.com/rider/marco-brenner;Tudor Pro Cycling Team;386
175;174;▼1;DUNBAR Eddie;https://www.procyclingstats.com/rider/edward-irl-dunbar;Team Jayco AlUla;385
176;183;▲7;AFFINI Edoardo;https://www.procyclingstats.com/rider/edoardo-affini;Team Visma | Lease a Bike;382
177;170;▼7;KUSS Sepp;https://www.procyclingstats.com/rider/sepp-kuss;Team Visma | Lease a Bike;378
178;178;-;MOLLEMA Bauke;https://www.procyclingstats.com/rider/bauke-mollema;Lidl - Trek;377
179;190;▲11;ROMEO Iván;https://www.procyclingstats.com/rider/ivan-romeo;Movistar Team;377
180;194;▲14;WRIGHT Fred;https://www.procyclingstats.com/rider/alfred-wright;Bahrain - Victorious;376
181;240;▲59;MOSCHETTI Matteo;https://www.procyclingstats.com/rider/matteo-moschetti;Q36.5 Pro Cycling Team;369
182;217;▲35;TEJADA Harold;https://www.procyclingstats.com/rider/harold-tejada;XDS Astana Team;368
183;169;▼14;PACHER Quentin;https://www.procyclingstats.com/rider/quentin-pacher;Groupama - FDJ;364
184;185;▲1;BARONCINI Filippo;https://www.procyclingstats.com/rider/filippo-baroncini;UAE Team Emirates - XRG;363
185;179;▼6;DÉMARE Arnaud;https://www.procyclingstats.com/rider/arnaud-demare;Arkéa - B&B Hotels;362
186;176;▼10;BISSEGGER Stefan;https://www.procyclingstats.com/rider/stefan-bissegger;Decathlon AG2R La Mondiale Team;362
187;402;▲215;BRENNAN Matthew;https://www.procyclingstats.com/rider/matthew-brennan;Team Visma | Lease a Bike;362
188;180;▼8;RYAN Archie;https://www.procyclingstats.com/rider/archie-ryan;EF Education - EasyPost;359
189;186;▼3;BUDZIŃSKI Marcin;https://www.procyclingstats.com/rider/marcin-budzinski;ATT Investments;359
190;208;▲18;WELSFORD Sam;https://www.procyclingstats.com/rider/sam-welsford;Red Bull - BORA - hansgrohe;355
191;192;▲1;WALSCHEID Max;https://www.procyclingstats.com/rider/max-walscheid;Team Jayco AlUla;354
192;177;▼15;RODRÍGUEZ Cristián;https://www.procyclingstats.com/rider/cristian-rodriguez;Arkéa - B&B Hotels;349
193;202;▲9;STEINHAUSER Georg;https://www.procyclingstats.com/rider/georg-steinhauser;EF Education - EasyPost;348
194;249;▲55;FOSS Tobias;https://www.procyclingstats.com/rider/tobias-foss;INEOS Grenadiers;347
195;171;▼24;BJERG Mikkel;https://www.procyclingstats.com/rider/mikkel-bjerg;UAE Team Emirates - XRG;347
196;182;▼14;ANIOŁKOWSKI Stanisław;https://www.procyclingstats.com/rider/stanislaw-aniolkowski;Cofidis;346
197;201;▲4;CAMPENAERTS Victor;https://www.procyclingstats.com/rider/victor-campenaerts;Team Visma | Lease a Bike;344
198;161;▼37;VAN ASBROECK Tom;https://www.procyclingstats.com/rider/tom-van-asbroeck;Israel - Premier Tech;343
199;195;▼4;MEURISSE Xandro;https://www.procyclingstats.com/rider/xandro-meurisse;Alpecin - Deceuninck;340
200;187;▼13;TAMINIAUX Lionel;https://www.procyclingstats.com/rider/lionel-taminiaux;Lotto;337
101;107;▲6;ALBANESE Vincenzo;https://www.procyclingstats.com/rider/vincenzo-albanese;EF Education - EasyPost;559
102;105;▲3;PARET-PEINTRE Valentin;https://www.procyclingstats.com/rider/valentin-paret-peintre;Soudal Quick-Step;558
103;103;-;CEPEDA Jefferson Alveiro;https://www.procyclingstats.com/rider/jefferson-cepeda-hernandez;Movistar Team;555
104;108;▲4;POOLE Max;https://www.procyclingstats.com/rider/max-poole;Team Picnic PostNL;551
105;121;▲16;SCHACHMANN Maximilian;https://www.procyclingstats.com/rider/maximilian-schachmann;Soudal Quick-Step;549
106;114;▲8;ANDRESEN Tobias Lund;https://www.procyclingstats.com/rider/tobias-lund-andresen;Team Picnic PostNL;549
107;109;▲2;VINE Jay;https://www.procyclingstats.com/rider/jay-vine;UAE Team Emirates - XRG;545
108;86;▼22;CHRISTEN Jan;https://www.procyclingstats.com/rider/jan-christen;UAE Team Emirates - XRG;545
109;117;▲8;HEALY Ben;https://www.procyclingstats.com/rider/ben-healy;EF Education - EasyPost;542
110;124;▲14;TARLING Joshua;https://www.procyclingstats.com/rider/joshua-tarling;INEOS Grenadiers;536
111;130;▲19;YATES Simon;https://www.procyclingstats.com/rider/simon-yates;Team Visma | Lease a Bike;532
112;55;▼57;BETTIOL Alberto;https://www.procyclingstats.com/rider/alberto-bettiol;XDS Astana Team;530
113;98;▼15;HINDLEY Jai;https://www.procyclingstats.com/rider/jai-hindley;Red Bull - BORA - hansgrohe;520
114;104;▼10;GALL Felix;https://www.procyclingstats.com/rider/felix-gall;Decathlon AG2R La Mondiale Team;519
115;115;-;SOLER Marc;https://www.procyclingstats.com/rider/marc-soler;UAE Team Emirates - XRG;517
116;119;▲3;PIGANZOLI Davide;https://www.procyclingstats.com/rider/davide-piganzoli;Team Polti VisitMalta;515
117;152;▲35;VERMEERSCH Gianni;https://www.procyclingstats.com/rider/gianni-vermeersch;Alpecin - Deceuninck;514
118;94;▼24;MOHORIČ Matej;https://www.procyclingstats.com/rider/matej-mohoric;Bahrain - Victorious;509
119;106;▼13;DE PLUS Laurens;https://www.procyclingstats.com/rider/laurens-de-plus;INEOS Grenadiers;504
120;143;▲23;RUBIO Einer;https://www.procyclingstats.com/rider/einer-rubio;Movistar Team;503
121;139;▲18;SEGAERT Alec;https://www.procyclingstats.com/rider/alec-segaert;Lotto;501
122;99;▼23;LAPEIRA Paul;https://www.procyclingstats.com/rider/paul-lapeira;Decathlon AG2R La Mondiale Team;498
123;149;▲26;DVERSNES Fredrik;https://www.procyclingstats.com/rider/fredrik-dversnes;Uno-X Mobility;498
124;145;▲21;PENHOËT Paul;https://www.procyclingstats.com/rider/paul-penhoet;Groupama - FDJ;498
125;206;▲81;MOLANO Juan Sebastián;https://www.procyclingstats.com/rider/juan-sebastian-molano;UAE Team Emirates - XRG;493
126;127;▲1;BAUHAUS Phil;https://www.procyclingstats.com/rider/phil-bauhaus;Bahrain - Victorious;488
127;144;▲17;JEGAT Jordan;https://www.procyclingstats.com/rider/jordan-jegat;Team TotalEnergies;488
128;111;▼17;VERMAERKE Kevin;https://www.procyclingstats.com/rider/kevin-vermaerke;Team Picnic PostNL;485
129;126;▼3;POLITT Nils;https://www.procyclingstats.com/rider/nils-politt;UAE Team Emirates - XRG;484
130;133;▲3;KRIJNSEN Jelte;https://www.procyclingstats.com/rider/jelte-krijnsen;Team Jayco AlUla;481
131;135;▲4;PARET-PEINTRE Aurélien;https://www.procyclingstats.com/rider/aurelien-paret-peintre;Decathlon AG2R La Mondiale Team;480
132;132;-;WOODS Michael;https://www.procyclingstats.com/rider/michael-woods;Israel - Premier Tech;477
133;92;▼41;MOZZATO Luca;https://www.procyclingstats.com/rider/luca-mozzato;Arkéa - B&B Hotels;476
134;131;▼3;ZANA Filippo;https://www.procyclingstats.com/rider/filippo-zana;Team Jayco AlUla;474
135;134;▼1;BERTHET Clément;https://www.procyclingstats.com/rider/clement-berthet;Decathlon AG2R La Mondiale Team;474
136;136;-;VANSEVENANT Mauri;https://www.procyclingstats.com/rider/mauri-vansevenant;Soudal Quick-Step;472
137;159;▲22;TEUNISSEN Mike;https://www.procyclingstats.com/rider/mike-teunissen;XDS Astana Team;467
138;212;▲74;LAMPERTI Luke;https://www.procyclingstats.com/rider/luke-lamperti;Soudal Quick-Step;464
139;142;▲3;THOMAS Geraint;https://www.procyclingstats.com/rider/geraint-thomas;INEOS Grenadiers;459
140;140;-;IZAGIRRE Ion;https://www.procyclingstats.com/rider/ion-izagirre;Cofidis;458
141;138;▼3;CHRISTEN Fabio;https://www.procyclingstats.com/rider/fabio-christen;Q36.5 Pro Cycling Team;455
142;141;▼1;LAURANCE Axel;https://www.procyclingstats.com/rider/axel-laurance;INEOS Grenadiers;452
143;146;▲3;DELETTRE Alexandre;https://www.procyclingstats.com/rider/alexandre-delettre;Team TotalEnergies;448
144;147;▲3;TEUNS Dylan;https://www.procyclingstats.com/rider/dylan-teuns;Cofidis;445
145;164;▲19;KANTER Max;https://www.procyclingstats.com/rider/max-kanter;XDS Astana Team;444
146;150;▲4;VAN DEN BROEK Frank;https://www.procyclingstats.com/rider/frank-van-den-broek;Team Picnic PostNL;443
147;198;▲51;KUBIŠ Lukáš;https://www.procyclingstats.com/rider/lukas-kubis;Unibet Tietema Rockets;440
148;153;▲5;VENTURINI Clément;https://www.procyclingstats.com/rider/clement-venturini;Arkéa - B&B Hotels;439
149;151;▲2;PELLIZZARI Giulio;https://www.procyclingstats.com/rider/giulio-pellizzari;Red Bull - BORA - hansgrohe;437
150;156;▲6;HERMANS Quinten;https://www.procyclingstats.com/rider/quinten-hermans;Alpecin - Deceuninck;436
151;154;▲3;SILVA Guillermo Thomas;https://www.procyclingstats.com/rider/guillermo-thomas-silva-coussan;Caja Rural - Seguros RGA;434
152;148;▼4;ALEOTTI Giovanni;https://www.procyclingstats.com/rider/giovanni-aleotti;Red Bull - BORA - hansgrohe;433
153;120;▼33;THIJSSEN Gerben;https://www.procyclingstats.com/rider/gerben-thijssen;Intermarché - Wanty;432
154;110;▼44;BLACKMORE Joseph;https://www.procyclingstats.com/rider/joseph-blackmore;Israel - Premier Tech;431
155;122;▼33;POELS Wout;https://www.procyclingstats.com/rider/wout-poels;XDS Astana Team;430
156;128;▼28;ACKERMANN Pascal;https://www.procyclingstats.com/rider/pascal-ackermann;Israel - Premier Tech;428
157;214;▲57;MIHKELS Madis;https://www.procyclingstats.com/rider/madis-mihkels;EF Education - EasyPost;425
158;160;▲2;HOELGAARD Markus;https://www.procyclingstats.com/rider/markus-hoelgaard;Uno-X Mobility;420
159;181;▲22;PLUIMERS Rick;https://www.procyclingstats.com/rider/rick-pluimers;Tudor Pro Cycling Team;418
160;137;▼23;STUYVEN Jasper;https://www.procyclingstats.com/rider/jasper-stuyven;Lidl - Trek;415
161;162;▲1;BIERMANS Jenthe;https://www.procyclingstats.com/rider/jenthe-biermans;Arkéa - B&B Hotels;415
162;116;▼46;VAN POPPEL Danny;https://www.procyclingstats.com/rider/danny-van-poppel;Red Bull - BORA - hansgrohe;413
163;165;▲2;FOLDAGER Anders;https://www.procyclingstats.com/rider/anders-foldager;Team Jayco AlUla;413
164;157;▼7;BITTNER Pavel;https://www.procyclingstats.com/rider/pavel-bittner;Team Picnic PostNL;412
165;125;▼40;DE KLEIJN Arvid;https://www.procyclingstats.com/rider/arvid-de-kleijn;Tudor Pro Cycling Team;411
166;166;-;FAGÚNDEZ Eric Antonio;https://www.procyclingstats.com/rider/eric-antonio-fagundez;Burgos Burpellet BH;411
167;173;▲6;HAGENES Per Strand;https://www.procyclingstats.com/rider/per-strand-hagenes;Team Visma | Lease a Bike;408
168;158;▼10;HOFSTETTER Hugo;https://www.procyclingstats.com/rider/hugo-hofstetter;Israel - Premier Tech;407
169;129;▼40;PITHIE Laurence;https://www.procyclingstats.com/rider/laurence-pithie;Red Bull - BORA - hansgrohe;405
170;163;▼7;COQUARD Bryan;https://www.procyclingstats.com/rider/bryan-coquard;Cofidis;403
171;175;▲4;WATSON Samuel;https://www.procyclingstats.com/rider/samuel-watson;INEOS Grenadiers;400
172;172;-;VALTER Attila;https://www.procyclingstats.com/rider/attila-valter;Team Visma | Lease a Bike;393
173;168;▼5;BURGAUDEAU Mathieu;https://www.procyclingstats.com/rider/mathieu-burgaudeau;Team TotalEnergies;386
174;167;▼7;BRENNER Marco;https://www.procyclingstats.com/rider/marco-brenner;Tudor Pro Cycling Team;386
175;174;▼1;DUNBAR Eddie;https://www.procyclingstats.com/rider/edward-irl-dunbar;Team Jayco AlUla;385
176;183;▲7;AFFINI Edoardo;https://www.procyclingstats.com/rider/edoardo-affini;Team Visma | Lease a Bike;382
177;170;▼7;KUSS Sepp;https://www.procyclingstats.com/rider/sepp-kuss;Team Visma | Lease a Bike;378
178;178;-;MOLLEMA Bauke;https://www.procyclingstats.com/rider/bauke-mollema;Lidl - Trek;377
179;190;▲11;ROMEO Iván;https://www.procyclingstats.com/rider/ivan-romeo;Movistar Team;377
180;194;▲14;WRIGHT Fred;https://www.procyclingstats.com/rider/alfred-wright;Bahrain - Victorious;376
181;240;▲59;MOSCHETTI Matteo;https://www.procyclingstats.com/rider/matteo-moschetti;Q36.5 Pro Cycling Team;369
182;217;▲35;TEJADA Harold;https://www.procyclingstats.com/rider/harold-tejada;XDS Astana Team;368
183;169;▼14;PACHER Quentin;https://www.procyclingstats.com/rider/quentin-pacher;Groupama - FDJ;364
184;185;▲1;BARONCINI Filippo;https://www.procyclingstats.com/rider/filippo-baroncini;UAE Team Emirates - XRG;363
185;179;▼6;DÉMARE Arnaud;https://www.procyclingstats.com/rider/arnaud-demare;Arkéa - B&B Hotels;362
186;176;▼10;BISSEGGER Stefan;https://www.procyclingstats.com/rider/stefan-bissegger;Decathlon AG2R La Mondiale Team;362
187;402;▲215;BRENNAN Matthew;https://www.procyclingstats.com/rider/matthew-brennan;Team Visma | Lease a Bike;362
188;180;▼8;RYAN Archie;https://www.procyclingstats.com/rider/archie-ryan;EF Education - EasyPost;359
189;186;▼3;BUDZIŃSKI Marcin;https://www.procyclingstats.com/rider/marcin-budzinski;ATT Investments;359
190;208;▲18;WELSFORD Sam;https://www.procyclingstats.com/rider/sam-welsford;Red Bull - BORA - hansgrohe;355
191;192;▲1;WALSCHEID Max;https://www.procyclingstats.com/rider/max-walscheid;Team Jayco AlUla;354
192;177;▼15;RODRÍGUEZ Cristián;https://www.procyclingstats.com/rider/cristian-rodriguez;Arkéa - B&B Hotels;349
193;202;▲9;STEINHAUSER Georg;https://www.procyclingstats.com/rider/georg-steinhauser;EF Education - EasyPost;348
194;249;▲55;FOSS Tobias;https://www.procyclingstats.com/rider/tobias-foss;INEOS Grenadiers;347
195;171;▼24;BJERG Mikkel;https://www.procyclingstats.com/rider/mikkel-bjerg;UAE Team Emirates - XRG;347
196;182;▼14;ANIOŁKOWSKI Stanisław;https://www.procyclingstats.com/rider/stanislaw-aniolkowski;Cofidis;346
197;201;▲4;CAMPENAERTS Victor;https://www.procyclingstats.com/rider/victor-campenaerts;Team Visma | Lease a Bike;344
198;161;▼37;VAN ASBROECK Tom;https://www.procyclingstats.com/rider/tom-van-asbroeck;Israel - Premier Tech;343
199;195;▼4;MEURISSE Xandro;https://www.procyclingstats.com/rider/xandro-meurisse;Alpecin - Deceuninck;340
200;187;▼13;TAMINIAUX Lionel;https://www.procyclingstats.com/rider/lionel-taminiaux;Lotto;337
